p01.pddl, 74, 0.795915, 63484, 38739
p02.pddl, 141, 17.1898, 411868, 323629
p03.pddl, 152, 26.4159, 622103, 443817
p04.pddl, 108, 2.71175, 147570, 69310
p05.pddl, 109, 4.20856, 165573, 105392
p06.pddl, 198, 45.8296, 985381, 699917
p07.pddl, 151, 22.2239, 507165, 376057
p08.pddl, 199, 43.7414, 1026514, 680359
p09.pddl, 217, 64.8825, 1331182, 896547
p10.pddl, 222, 65.0193, 1227090, 819660
